cleaned_name,occurrences,correct_name
janauba,248,Janauba
boaesperanca,247,Boa Esperanca
lagoadaprata,247,Lagoa Da Prata
caceres,247,Caceres
imbituba,247,Imbituba
socorro,245,Socorro
marau,245,Marau
tangaradaserra,245,Tangara Da Serra
campolimpopaulista,244,Campo Limpo Paulista
machado,244,Machado
ararangua,244,Ararangua
trespontas,243,Tres Pontas
almirantetamandare,243,Almirante Tamandare
doisvizinhos,242,Dois Vizinhos
gravataí,242,Gravatai
taquara,241,Taquara
camaqua,241,Camaqua
garca,240,Garca
trindade,240,Trindade
paraguacupaulista,239,Paraguacu Paulista
seropedica,239,Seropedica
mineiros,239,Mineiros
vargemgrandedosul,238,Vargem Grande Do Sul
pederneiras,238,Pederneiras
jacobina,238,Jacobina
saomanuel,237,Sao Manuel
almenara,236,Almenara
fredericowestphalen,236,Frederico Westphalen
bragançapaulista,235,Braganca Paulista
ariquemes,235,Ariquemes
matinhos,235,Matinhos
presidenteepitacio,234,Presidente Epitacio
fozdoiguaçu,234,Foz Do Iguacu
candeias,233,Candeias
luziania,232,Luziania
garibaldi,230,Garibaldi
rancharia,229,Rancharia
brumado,228,Brumado
jacarezinho,228,Jacarezinho
joacaba,228,Joacaba
guararapes,227,Guararapes
cabodesantoagostinho,227,Cabo De Santo Agostinho
parnaiba,227,Parnaiba
serranegra,226,Serra Negra
simoesfilho,225,Simoes Filho
guapimirim,224,Guapimirim
laranjalpaulista,223,Laranjal Paulista
brotas,222,Brotas
sumaré,221,Sumare
santabarbara,221,Santa Barbara
araçatuba,220,Aracatuba
itarare,220,Itarare
armacaodosbuzios,220,Armacao Dos Buzios
brumadinho,220,Brumadinho
tijucas,220,Tijucas
marataizes,219,Marataizes
senhordobonfim,219,Senhor Do Bonfim
viscondedoriobranco,218,Visconde Do Rio Branco
januaria,218,Januaria
ji-parana,218,Ji-Parana
capanema,217,Capanema
bombinhas,217,Bombinhas
agudos,216,Agudos
cordeiro,216,Cordeiro
cruzdasalmas,215,Cruz Das Almas
iguape,213,Iguape
piracaia,213,Piracaia
guaratuba,213,Guaratuba
montemor,212,Monte Mor
dompedrito,212,Dom Pedrito
carlosbarbosa,211,Carlos Barbosa
saopedro,209,Sao Pedro
cravinhos,209,Cravinhos
holambra,208,Holambra
iguabagrande,208,Iguaba Grande
rolandia,206,Rolandia
laguna,205,Laguna
veracruz,204,Vera Cruz
saltodepirapora,204,Salto De Pirapora
caxambu,204,Caxambu
lagoavermelha,204,Lagoa Vermelha
charqueadas,204,Charqueadas
divinópolis,203,Divinopolis
saomateusdosul,202,Sao Mateus Do Sul
guararema,201,Guararema
mogiguaçu,201,Mogi Guacu
bonito,200,Bonito
saoluizgonzaga,200,Sao Luiz Gonzaga
barradogarcas,199,Barra Do Garcas
tapejara,199,Tapejara
bastos,198,Bastos
esmeraldas,198,Esmeraldas
iturama,198,Iturama
altafloresta,198,Alta Floresta
cajati,197,Cajati
ibiuna,197,Ibiuna
miracema,197,Miracema
vitóriadaconquista,197,Vitoria Da Conquista
camboriu,196,Camboriu
pomerode,196,Pomerode
camposnovos,196,Campos Novos
juquitiba,195,Juquitiba
guanhaes,195,Guanhaes
ipora,195,Ipora
palotina,195,Palotina
venancioaires,195,Venancio Aires
pinhalzinho,194,Pinhalzinho
casimirodeabreu,194,Casimiro De Abreu
bomjesusdalapa,194,Bom Jesus Da Lapa
saogabrieldooeste,194,Sao Gabriel Do Oeste
pontapora,194,Ponta Pora
laranjeirasdosul,194,Laranjeiras Do Sul
pereirabarreto,193,Pereira Barreto
paragominas,192,Paragominas
conchal,191,Conchal
maracanau,191,Maracanau
morrinhos,191,Morrinhos
fraiburgo,191,Fraiburgo
novaprata,190,Nova Prata
andradas,189,Andradas
rionegro,189,Rio Negro
pontal,188,Pontal
bariri,188,Bariri
capelinha,188,Capelinha
camponovodoparecis,188,Campo Novo Do Parecis
oliveira,187,Oliveira
ourofino,187,Ouro Fino
novamutum,187,Nova Mutum
mandaguari,187,Mandaguari
serrana,186,Serrana
igarapava,186,Igarapava
paraibadosul,186,Paraiba Do Sul
joaopinheiro,186,Joao Pinheiro
floriano,186,Floriano
ponteselacerda,186,Pontes E Lacerda
chapecó,186,Chapeco
itapolis,185,Itapolis
redencao,185,Redencao
piedade,184,Piedade
cachoeirasdemacacu,184,Cachoeiras De Macacu
poçosdecaldas,184,Pocos De Caldas
cristalina,184,Cristalina
cafelandia,183,Cafelandia
parati,183,Paraty
saofidelis,183,Sao Fidelis
matozinhos,183,Matozinhos
crato,183,Crato
caxias,183,Caxias
quirinopolis,183,Quirinopolis
picos,182,Picos
maraba,182,Maraba
bomjesus,181,Bom Jesus
itamaraju,180,Itamaraju
novaandradina,180,Nova Andradina
estrela,180,Estrela
itupeva,179,Itupeva
descalvado,179,Descalvado
morroagudo,178,Morro Agudo
jardinopolis,178,Jardinopolis
vilhena,178,Vilhena
balneáriocamboriú,178,Balneario Camboriu
jaú,177,Jau
saofranciscodeitabapoana,177,Sao Francisco De Itabapoana
irece,177,Irece
campoverde,177,Campo Verde
guapore,177,Guapore
saojoaodabarra,176,Sao Joao Da Barra
nossasenhoradosocorro,176,Nossa Senhora Do Socorro
balsas,175,Balsas
cacoal,175,Cacoal
cambui,174,Cambui
penha,174,Penha
santacruzdaspalmeiras,172,Santa Cruz Das Palmeiras
santaritadopassaquatro,172,Santa Rita Do Passa Quatro
itaocara,172,Itaocara
castelo,172,Castelo
palhoça,172,Palhoca
biguacu,172,Biguacu
veranopolis,172,Veranopolis
teodorosampaio,171,Teodoro Sampaio
mangaratiba,171,Mangaratiba
salinas,171,Salinas
coxim,171,Coxim
doisirmaos,171,Dois Irmaos
ibiruba,171,Ibiruba
hortolândia,170,Hortolandia
guariba,170,Guariba
pitangui,169,Pitangui
saojoaonepomuceno,169,Sao Joao Nepomuceno
maravilha,169,Maravilha
ibipora,169,Ibipora
aguasdelindoia,168,Águas De Lindoia
tresmarias,168,Tres Marias
vitoriadesantoantao,168,Vitoria De Santo Antao
igrejinha,168,Igrejinha
novagranada,167,Nova Granada
vendanovadoimigrante,167,Venda Nova Do Imigrante
vazante,167,Vazante
itapetinga,167,Itapetinga
cruzeirodosul,167,Cruzeiro Do Sul
casabranca,166,Casa Branca
josebonifacio,166,Jose Bonifacio
igarape,166,Igarape
garopaba,166,Garopaba
santavitoriadopalmar,166,Santa Vitoria Do Palmar
aguai,164,Aguai
pitangueiras,164,Pitangueiras
pilardosul,164,Pilar Do Sul
jaguarao,164,Jaguarao
santarosadeviterbo,163,Santa Rosa De Viterbo
monteazulpaulista,163,Monte Azul Paulista
novavenecia,162,Nova Venecia
bandeirantes,162,Bandeirantes
carmodoparanaiba,162,Carmo Do Paranaiba
aparecidadegoiânia,162,Aparecida De Goiania
sarzedo,161,Sarzedo
coromandel,161,Coromandel
criciúma,161,Criciuma
abaetetuba,160,Abaetetuba
santoantoniodapatrulha,160,Santo Antonio Da Patrulha
louveira,159,Louveira
bambui,159,Bambui
guaratinguetá,158,Guaratingueta
mirandopolis,158,Mirandopolis
teresópolis,158,Teresopolis
aguaboa,158,Água Boa
canarana,158,Canarana
portouniao,158,Porto Uniao
estanciavelha,158,Estancia Velha
itatiaia,156,Itatiaia
bomjardim,156,Bom Jardim
patos,156,Patos
anápolis,156,Anapolis
campinagrandedosul,156,Campina Grande Do Sul
bomjesusdosperdoes,155,Bom Jesus Dos Perdoes
conceicaodomatodentro,155,Conceicao Do Mato Dentro
montesiao,155,Monte Siao
santoantoniodaplatina,155,Santo Antonio Da Platina
floresdacunha,155,Flores Da Cunha
barrinha,154,Barrinha
buritis,154,Buritis
sobradinho,154,Sobradinho
taquarituba,153,Taquarituba
itanhandu,153,Itanhandu
posse,153,Posse
saosimao,152,Sao Simao
saomiguelarcanjo,152,Sao Miguel Arcanjo
pirapozinho,152,Pirapozinho
santoantoniodomonte,152,Santo Antonio Do Monte
candidomota,151,Candido Mota
saojosedovaledoriopreto,151,Sao Jose Do Vale Do Rio Preto
paulínia,150,Paulinia
bacabal,150,Bacabal
saogabrieldapalha,149,Sao Gabriel Da Palha
arcoverde,149,Arcoverde
santahelena,149,Santa Helena
pitanga,149,Pitanga
ivoti,149,Ivoti
riodaspedras,148,Rio Das Pedras
itaberaba,148,Itaberaba
capinzal,148,Capinzal
conceicaodemacabu,147,Conceicao De Macabu
serrinha,147,Serrinha
jaraguádosul,147,Jaragua Do Sul
arujá,146,Aruja
pompeia,146,Pompeia
itaqui,146,Itaqui
lapa,145,Lapa
barradesaofrancisco,144,Barra De Sao Francisco
jacutinga,144,Jacutinga
santana,144,Santana
palmeiradasmissoes,144,Palmeira Das Missoes
aracoiabadaserra,143,Aracoiaba Da Serra
viana,143,Viana
quedasdoiguacu,143,Quedas Do Iguacu
santagertrudes,142,Santa Gertrudes
cerqueiracesar,142,Cerqueira Cesar
claudio,142,Claudio
goiatuba,142,Goiatuba
bracodonorte,142,Braco Do Norte
martinopolis,141,Martinopolis
pinheiral,141,Pinheiral
icara,141,Icara
itabaiana,140,Itabaiana
itaituba,140,Itaituba
tucurui,140,Tucurui
rolimdemoura,140,Rolim De Moura
maracaju,140,Maracaju
colorado,140,Colorado
jaguariaiva,139,Jaguariaiva
sombrio,139,Sombrio
saomarcos,139,Sao Marcos
itajubá,138,Itajuba
iguatu,138,Iguatu
porangatu,138,Porangatu
bentogonçalves,138,Bento Goncalves
cantagalo,137,Cantagalo
piumhi,137,Piumhi
santavitoria,137,Santa Vitoria
juara,137,Juara
marialva,137,Marialva
rosariodosul,137,Rosario Do Sul
horizontina,137,Horizontina
poá,136,Poa
navirai,136,Navirai
xaxim,136,Xaxim
parobe,136,Parobe
santoantoniodeposse,135,Santo Antonio De Posse
planalto,135,Planalto
santoanastacio,135,Santo Anastacio
soledade,135,Soledade
costarica,135,Costa Rica
pirajui,134,Pirajui
valparaiso,134,Valparaiso
mutum,134,Mutum
paraisopolis,134,Paraisopolis
seabra,134,Seabra
serratalhada,134,Serra Talhada
rondonópolis,134,Rondonopolis
eldoradodosul,134,Eldorado Do Sul
teutonia,134,Teutonia
saofrancisco,133,Sao Francisco
mendes,133,Mendes
patydoalferes,133,Paty Do Alferes
baixoguandu,133,Baixo Guandu
ipanema,133,Ipanema
aquidauana,133,Aquidauana
viradouro,132,Viradouro
itaporanga,132,Itaporanga
taiobeiras,132,Taiobeiras
braganca,132,Braganca
juina,132,Juina
americobrasiliense,131,Americo Brasiliense
alegre,131,Alegre
goiana,131,Goiana
cajuru,130,Cajuru
potirendaba,130,Potirendaba
quissama,130,Quissama
salgueiro,130,Salgueiro
encantado,130,Encantado
conchas,129,Conchas
fartura,129,Fartura
limoeirodonorte,129,Limoeiro Do Norte
portonacional,129,Porto Nacional
assischateaubriand,129,Assis Chateaubriand
cunha,128,Cunha
itai,128,Itai
carmo,128,Carmo
paraguacu,128,Paraguacu
abreuelima,128,Abreu E Lima
santacruzdocapibaribe,128,Santa Cruz Do Capibaribe
pontaldoparana,128,Pontal Do Parana
apiai,127,Apiai
aracuai,127,Aracuai
coronelvivida,127,Coronel Vivida
ivaipora,127,Ivaipora
taquari,127,Taquari
bonfimpaulista,126,Bonfim Paulista
